"Data last updated November, 01 2020",,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the initiative,Type of the initiative,Status of the initiative,Year of implementation,Description of the initiative,Recent developments,Jurisdictions covered,GHG emissions in the jurisdiction (2012),Share of jurisdiction's GHG emissions covered,Sectors and/or fuels covered,Proportion of GHG emissions covered overlapping with other carbon pricing initiatives,"Cap or total emission units (current year or latest year available, ETS only)",Allocation approaches (ETS only),Competitiveness considerations and/or exemptions,Point of regulation,Compliance cycle,Use of offsets,Price level,Price/market stabilization mechanisms (ETS only),Future price developments (Carbon tax only),Government revenues (previous year),Value (current year),Relation to other carbon pricing initiatives,Cooperations,Links to official sources,To find out more,Contributions
Estonia carbon tax,Carbon tax,Implemented,2000,"The Estonia carbon tax is part of the Environmental Charges Act (Keskkonnatasude seadus), which aims to limit environmental pollution. ",No significant recent developments,Estonia,28 MtCO2e,3%,The Estonia carbon tax applies to CO2 emissions from industry and power sectors.   The tax covers all fossil fuels used to generate thermal energy.,Overlap with the EU ETS not available due to a lack of data,Not applicable,Not applicable,Not applicable,Users of the fossil fuels covered are liable for payment of the tax.,The carbon tax is to be paid a quarterly basis.,Not applicable,N/A,Not applicable,Not applicable,US$3 million,US$3 million,Operators covered by the EU ETS are exempt from the carbon tax. ,Not applicable,Estonia Environmental Charges Act,-,
Finland carbon tax,Carbon tax,Implemented,1990,"Finland introduced their carbon tax (official name: Hiilidioksidivero) in 1990, making it the first country to introduce a carbon tax. The carbon tax is a component of the energy tax (official name: energiaverotusta). The energy tax further consists of a variable component based on the energy content of the fuel and a fixed component to finance maintaining security of supply.","From January 1, 2019, Finland changed the methodology to calculate the CO2 emissions for heating fuels and fuels for work machines covered under its carbon tax, whereby full lifecycle emissions of the fuels are now included instead of only combustion emissions.  To limit the additional tax burden due to this change, the carbon tax rate of these fuels decreased from EUR62/tCO2e (US$71/tCO2e) to EUR53/tCO2e (US$76/tCO2e). In addition, the partial carbon tax exemption for combined heat and power plants was turned into a partial energy tax exemption, resulting in a small increase of the tax burden on coal to support the transition away from coal use.",Finland,112 MtCO2e,36%,"The Finland carbon tax applies to CO2 emissions from mainly the industry, transport and buildings sectors with some exemptions for industry (see Competitiveness considerations and/or exemptions).   The tax covers all fossil fuels except for peat.",37%  Estimated based on overlap with: EU ETS,Not applicable,Not applicable,"The carbon tax does not apply to fuel use for electricity production, commercial aviation and commercial yachting. Certain industries and fuel uses are (partially) exempt from the carbon tax, such as fuel use in refineries and CHPs or use of coal and natural gas as raw materials in industrial processes. The carbon tax also does not apply to peat, which is only taxed on its energy content.",Distributors and importers of the fossil fuels covered are liable for payment of the tax.,The carbon tax is to be paid on a monthly basis.,Not applicable,Transport fuels: EUR62/tCO2e (US$68/tCO2e). Other fossil fuels: EUR53/tCO2e (US$58/tCO2e),Not applicable,Not available,US$1420 million,US$1420 million,Operators covered by the EU ETS are also covered by the carbon tax.,Not applicable,Energy Taxation,-,
France carbon tax,Carbon tax,Implemented,2014,The French carbon tax is a part of the domestic tariffs on consumption of the energy products (taxes interieures sur la consommation des produits energetiques). The tax was introduced to include the impact of products on climate change and serves as a complementary policy measure to the EU ETS.,"The France carbon tax was set last year on an increasing price trajectory towards EUR86.2/tCO2 in 2022, but this plan has been modified after social protests. Originally, the French carbon tax would have increased by 23% in 2019 and as much as 19% by 2020. However, following nation-wide consultations the tax rate was frozen at EUR44.6/tCO2 for 2019 and remained at that level for 2020. ",France,488 MtCO2e,35%,"The French carbon tax applies CO2 emissions from mainly the industry, buildings and transport sectors with some exemptions for these and other sectors (see Competitiveness considerations and/or exemptions).  The tax covers all fossil fuels.",Not applicable,Not applicable,Not applicable,"Operators covered by the EU ETS are exempt from the tax. Also certain industrial processes (non-combustion usage), power production, shipping, aviation, public transport and freight transport are (partly) exempt from the carbon tax. ",Distributors and importers of the fossil fuels covered are liable for payment of the tax. ,The carbon tax is to be paid on a quarterly basis. ,Not applicable,EUR45/tCO2e (US$49/tCO2e),Not applicable,"The France carbon tax was originally set to increase annually by EUR10.4/tCO2e from EUR44.6/tCO2e in 2018 to EUR86.2/tCO2e in 2022, but the new trajectory is yet to be determined.",US$8968 million,US$8968 million,Operators covered by the EU ETS are exempt from the carbon tax.,Not applicable,Carbon tax,-,
Fujian pilot ETS,ETS,Implemented,2016,"The Fujian pilot ETS is the eighth Chinese ETS pilot. The cap-and-trade system intends to prepare companies for the start of the national ETS. Unlike the other pilots, the mandate to introduce a pilot ETS in Fujian came from the State Council instead of the National Development and Reform Commission. Given the prominence of the forestry sector in Fujian, it also aims to encourage investments in and development of carbon sequestration projects.",The 2018 and 2019 allocation plans were released in June 2019 by the Fujian Provincial Department of Ecology and Environment. ,Fujian,333 MtCO2e,60%,"The Fujian pilot ETS applies to CO2 emissions from the industry, power and aviation sectors.",35%  Estimated based on overlap with: China national ETS,200 MtCO2e (2016)  The total amount of emission allowances is the bottom-up combination of the free allowances to each covered business entity.,"Emission allowances under the cap are primarily distributed via free allocation. The power generation, cement, aluminium and plate glass sectors receive free allocation based on benchmarks and actual production data. All other sectors receive allocation based on historical emission intensity and actual production. Authorities can decide to auction up to 10% of the total allowances (See Price/market stabilization measures).","All operators receive their allowances (largely) for free. Also, small emitters are currently exempt from the Fujian pilot ETS.","Operators are liable for reporting their direct emissions as well as indirect emissions from power and heat consumption at a business entity level. Power generators are liable for their direct emissions at a business entity level, meaning that power and heat sector emissions are double-regulated due to the price-regulated electricity market in China. All liable entities need to surrender an equivalent amount of emission allowances (and eligible offsets). ",Operators need to meet their compliance obligations on an annual basis.  ,"Operators can meet up to 5% of their annual compliance obligations with eligible non-forestry offsets or up to 10% if both eligible forestry and non-forestry offsets are used. Eligible forestry credits are Fujian Forest Certificated Emission Reduction offsets generated after February 16, 2005 and eligible non-forestry projects are domestic project-based carbon offsets (CCERs) from CO2 and methane reduction projects generated in Fujian. CCERs from hydropower projects are not eligible. ",RMB19/tCO2e (US$3/tCO2e),"Authorities can auction allowances or repurchase allowances from the market in case of significant allowance price fluctuations, severe supply-demand imbalances or poor market liquidity.",Not applicable,N/A,US$256 million,The Fujian pilot ETS is to be merged into the national ETS under unified rules and a detailed transition plan is under development.,Not applicable,Implementation Plan of Emissions Trading Market Construction in Fujian Province  Allocation Plan for Vintage 2018 and 2019- Fujian Provincial Department of Ecology and Environment,ICAP Fujian pilot ETS factsheet PMR ETS news from China,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the Fujian pilot ETS can be found here
Germany ETS,ETS,Scheduled,2021,"On December 20, 2019, the Fuel Emissions Trading Act came into effect in Germany, establishing a national ETS for the heat and road transport sectors, which are currently not covered by the EU ETS, by putting a price on fuel suppliers starting in January 1, 2021.  This is part of a wider national climate package adopted to help meet Germany's 2030 climate targets and its 2050 carbon neutrality target. ","The national ETS will be phased in gradually with a fixed price on emission allowances from 2021 to 2025. From 2021, the price will be set at EUR25/tCO2e (US$27/tCO2e) and continuously rise to EUR55/tCO2 (US$60/tCO2) in 2025. In 2026, auctions will be introduced alongside a price corridor between EUR55/tCO2e (US$60/tCO2e) and EUR65/tCO2e (US$71/tCO2e). Whether a price corridor should be applied for 2027 onwards will be decided in 2025 based on a review of the system. These prices are higher than the initial prices in the adopted Fuel Emissions Trading Act that started at EUR10/tCO2e (US$11/tCO2e) in 2021. The increased prices are a result of negotiations between federal level and state governments in Germany. On May 20, 2020, the German federal cabinet agreed on a revision of the Fuel Emissions Trading Act increasing prices per tonne of CO2.  The revised bill was submitted to parliament for approval.  Revenues from the national ETS will be used to support various climate protection measures, including incentivizing climate-friendly transport, energy-efficient buildings and rebates to compensate citizens for higher carbon costs. In October 2020, the German parliament adopted the revised Fuel Emissions Trading Act, which includes the price increases listed above.",Germany,997 MtCO2e,40%,The Germany ETS will apply to GHG emissions from the buildings and road transport sectors.  The tax covers all fossil fuels.,Not applicable,"The cap has not been set yet. Cap will be set in a regulation in 2020 and will be based on Germany’s legally binding reduction targets for the non-EU ETS sectors. However, in the initial phase of the national ETS the cap will not be absolute.","From 2021 until 2025, allowances are sold for a fixed price. Auctions will be introduced in 2026.",Not applicable,"From 2021, fuel suppliers will have to buy emission allowances from the government at a price of EUR25/tCO2e, which rises to EUR55/tCO2 in 2025.  In 2026, auctions will be introduced alongside a price corridor between EUR55/tCO2e and EUR65/tCO2e. Whether a price corridor should be applied for 2027 onwards will be decided in 2025 based on a review of the system.",Operators need to meet their compliance obligations on an annual basis.  ,Not applicable,N/A,Fixed price in the initial phase,Not applicable,N/A,N/A,Not applicable,Not applicable,Press release  Details  Revised Fuel Emissions Trading Act,ICAP Germany factsheet,
Guangdong pilot ETS,ETS,Implemented,2013,"The Guangdong pilot ETS is the largest ETS among the Chinese ETS pilots. The cap-and-trade system is a key instrument for the province to transform and upgrade its economy, increase welfare and raise awareness of GHG emission control among society and businesses. It has one of the most active markets among the Chinese ETS pilots with the largest market share of spot trading and is one of two Chinese ETS pilots open to foreign investors. It also allows unincorporated organizations such as funds and trusts to trade in its carbon market. ","Guangdong released the 2019 allocation plan in November 2019. The plan includes revisions to the allocation methodology, including an expansion of benchmarking to co-generation, as well as refinements to the benchmarks for the iron and steel sectors. In addition, the number of allowances available for auction increased from 2 MtCO2e in 2018 to 5 MtCO2e in 2019. Guangdong also introduced a new method of allowance transaction in June 2020 to improve market efficiency in the province. Covered entities can now entrust the Guangzhou Carbon Emission Trading Center to organize auctions of any planned sale of allowances rather than pursue bilateral trading.  ",Guangdong (except Shenzhen),611 MtCO2e,60%,"The Guangdong pilot ETS applies to CO2 emissions from the industry, power and domestic aviation sectors.",35%  Estimated based on overlap with: China national ETS,465 MtCO2e (2019)  The total amount of emission allowances is determined through a combined top-down and bottom-up approach based on reported emission data.,"Emission allowances under the cap are distributed via a combination of free allocation and auctioning. The power sector, certain types of airlines, and certain types of processes in the paper, cement and iron and steel sectors receive free allocation based on benchmarks, actual production data and a reduction factor. Other business entities receive free allocation based on their historical emissions or historical intensity and actual production data, and a reduction factor. Two million allowances are available for auction annually, although no allowances were auctioned in 2018. ","All operators receive their allowances for free up to 95% for the power sector and 97% for the other sectors of their benchmark or historical emission level. Also, some small emitters are exempt from the Guangdong pilot ETS.","Operators are liable for reporting their direct emissions as well as indirect emissions from power and heat consumption at a business entity level. Power generators are liable for their direct emissions at a business entity level, meaning that power and heat sector emissions are double-regulated due to the price-regulated electricity market in China. All liable entities need to surrender an equivalent amount of emission allowances (and eligible offsets). ",Operators need to meet their compliance obligations on an annual basis.  ,Operators can use eligible offsets to meet up to 10% of their compliance obligations. Only domestic project-based carbon offsets (CCERs) generated from certain project types or locally developed Pu Hui Certified Emission Reductions (PHCER) are eligible. At least 50% of the surrendered CCERs must come from CO2 or CH4 reduction projects and at least 70% from projects in the Guangdong province. ,RMB27/tCO2e (US$4/tCO2e),"An auction reserve price (i.e. the minimum price that allowances can be sold for at an auction) is set depending on the market price of allowances. In addition, PHCERs are also auctioned with an auction price floor set by the Emissions Exchange Guangzhou on behalf of the project developers.  ",Not applicable,N/A,US$1921 million,The Guangdong pilot ETS is to be merged into the national ETS under unified rules and a detailed transition plan is under development.,Not applicable,Guangdong Pilot ETS Implementation Plan Trial Measures for Emissions Trading in Guangdong Guangdong DRC – Allocation Plan for Vintage 2018 Announcement on Enabling Quota Auction Transfer Trading Method,ICAP Guangdong pilot ETS factsheet PMR ETS news from China,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the Guangdong pilot ETS can be found here
Hubei pilot ETS,ETS,Implemented,2014,The Hubei pilot ETS has the most active market among the Chinese ETS pilots consisting of both spot and forward trades. The cap-and-trade system is a key instrument in achieving the province's GHG emission reduction target by turning carbon emissions into a resource and giving it a value by establishing resource scarcity through a cap on emissions. ,"Hubei released its 2019 allocation plan in August 2020 . The key changes compared to the previous year‘s plan include a cap increase of 14 million tons to reach 270 million tons, a decline in the market adjustment factor, and updating the base year from 2015-2017 to 2016-2018. ",Hubei,463 MtCO2e,45%,The Hubei pilot ETS applies to CO2 emissions from the industry and power sectors.,35%  Estimated based on overlap with: China national ETS,270 MtCO2e (2019)  The total amount of emission allowances is determined through a combined top-down and bottom-up approach based on reported emission data.,"Emission allowances under the cap are primarily distributed via free allocation. The power and cement sectors receive free allocation based on benchmarks and actual production data. For the heat and cogeneration, ceramics, glass and other building material sectors, free allocation based on their historical carbon intensity and actual production data. All other sectors receive free allocation based on historical emissions. A small portion of allowances can be auctioned (See Price/market stabilization measures).","All operators receive their allowances (largely) for free. Also, some small energy consumers are exempt from the Hubei pilot ETS.","Operators are liable for reporting their direct emissions as well as indirect emissions from power and heat consumption at a business entity level. Power generators are liable for their direct emissions at a business entity level, meaning that power and heat sector emissions are double-regulated due to the price-regulated electricity market in China. All liable entities need to surrender an equivalent amount of emission allowances (and eligible offsets). ",Operators need to meet their compliance obligations on an annual basis.  ,Operators can use up to 10% of their annual initial allocation in eligible offsets to meet their compliance obligations. Only domestic project-based carbon offsets (CCERs) generated between 2013 and 2015 from rural biogas and forestry projects are allowed. The projects have to be located in key counties under the national or provincial poverty alleviation plan in urban agglomeration areas of the middle reaches of the Yangtze River (within Hubei).,RMB32/tCO2e (US$4/tCO2e),"The Hubei Development and Reform Commission (in consultation with an advisory committee) can sell allowances in case of severe demand-supply imbalances or a low liquidity. 8% of the cap is reserved for this purpose. The DRC can also buy back allowances to stabilize the market. In addition, the exchange limits day-to-day price fluctuations to a certain%age.",Not applicable,US$17 million,US$913 million,The Hubei pilot ETS is to be merged into the national ETS under unified rules and a detailed transition plan is under development.,Not applicable,Hubei Pilot ETS Implementation Plan Interim Measures for Management of Emissions Trading in Hubei Province  Department  of Ecology and Environment of Hubei Province - Allocation Plan for Vintage 2018,ICAP Hubei pilot ETS factsheet PMR ETS news from China,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the Hubei pilot ETS can be found here
Iceland carbon tax,Carbon tax,Implemented,2010,"The Iceland carbon tax (official name: Kolefnisgjald a kolefni af jaroefnauppruna) is part of the Environmental and Resource tax. The tax was introduced as part of the government's tax reform on vehicles and fuels to encourage the use of environment-friendly vehilcles, save energy, reduce GHG emissions and increase the use of domestic energy sources. The tax serves as a complementary policy measure to the EU ETS.","The carbon tax rate grew by 10% on January 1, 2020, to approximately ISK4235/tCO2e (US$30/tCO2e). These increases will help phase out fossil fuels in the transport sector and are part of the Climate Action Plan 2018-2030 to help Iceland efforts reach its NDC and its 2040 goal of carbon neutrality.    Iceland introduced an additional tax rate of ISK2500/tCO2e (US$18/tCO2e) on F-gases in January 1, 2020 to encourage companies to find more environmentally friendly alternatives that could replace the use of F-gases and thereby reduce GHG emissions.  The tax rate has a maximum of ISK10,000 per kilogram of F-gas. The tax rate is introduced over two years with companies only having to pay 50% of the tax rate in 2020 and the full tax rate from 2021.",Iceland,5 MtCO2e,29%,"The Iceland carbon tax applies to CO2 emissions from all sectors with some exemptions for the industry, power and aviation sectors (see Competitiveness considerations and/or exemptions).  The tax covers liquid and gaseous fossil fuels.",Not applicable,Not applicable,Not applicable,"Operators covered by the EU ETS are exempt from the carbon tax. Aviation fuel is not taxed, meaning that the aviation sector is exempt.",Producers and importers of the fossil fuels covered are liable for payment of the tax.,The carbon tax is to be paid on a bimonthly basis. ,Not applicable,Fossil fuels: ISK4235/tCO2e (US$30/tCO2e). F-gases: ISK1250/tCO2e (US$9/tCO2e),Not applicable,"The government expects to increase the rate further in coming years, in line with the climate action plan to combat climate change and fulfill Iceland's commitments under the Paris Agreement.",US$41 million,US$47 million,Operators covered by the EU ETS are exempt from the carbon tax.,Not applicable,Environmental and resource tax laws,-,
Indonesia ETS,ETS,Under consideration,TBC,"Indonesia is working towards a domestic ETS for the power and industry sectors as one of the policy mechanisms to help meet its NDC targets and foster low-carbon sustainable development. By means of Presidential Decree Number 77 of 2018, Indonesia will establish a public service agency that will manage environmental funds and mechanisms, including its ETS.","Indonesia aims to first implement a voluntary domestic ETS for the power sector, followed by a mandatory domestic ETS. Indonesia is in the process of developing the technical and regulatory framework for the pilot ETS, including operational and procedural guidelines. The results of the pilot will be used to inform the mandatory ETS.",,,,,,,,,,,,,,,,,,,,,
Ireland carbon tax,Carbon tax,Implemented,2010,"The Ireland carbon tax (officially under three names: Natural Gas Carbon Tax, Mineral Oil Tax: Carbon Charge and Solid Fuel Carbon Tax) aims to reduce GHG emissions while using the revenues to boost energy efficiency, to support rural transport, to alleviate fuel poverty and to maintain or reduce payroll taxes. The tax serves as a complementary policy measure to the EU ETS.","Ireland's carbon tax increased by EUR6/tCO2 (US$7/tCO2) to EUR26/tCO2 (US$29/tCO2), keeping on track to reach EUR80/tCO2 (US$87/tCO2) in 2030 as set out in the government's Climate Action Plan. This increase also follows the advice of the Climate Change Advisory Council that an increase in the carbon price is essential to meet Ireland's climate targets. The price increase applied as of October 9, 2019 for transport fuels and will be effective for other fuels from May 1, 2020. The price increase is expected to raise EUR90 million (US$98 million) in revenues in 2020 and will be redistributed to protect vulnerable energy consumers and to investments that facilitate the low-carbon transition.",Ireland,66 MtCO2e,49%,"The Ireland carbon tax applies to CO2 emissions from all sectors with some exemptions for the power, industry, transport and aviation sectors (see Competitiveness considerations and/or exemptions).  The tax covers all fossil fuels.",40%  Estimated based on overlap with: EU ETS,Not applicable,Not applicable,"Operators in the EU ETS are partially exempted from the carbon tax up to the minimum level allowed by the EU Energy Taxation Directive. Certain industrial processes, export of the fuels covered, power production, shipping and aviation are (partly) exempt from the carbon tax. ",Distributors and importers of the fossil fuels covered are liable for payment of the tax. ,The carbon tax is to be paid on a bimonthly basis. ,Not applicable,Transport fuels: EUR26/tCO2e (US$28/tCO2e). Other fossil fuels: EUR20/tCO2e (US$22/tCO2e),Not applicable,The price rate is set to increase by EUR6/tCO2 (US$7/tCO2) from EUR20/tCO2 (US$22/tCO2) in 2019 to EUR 80/tCO2 (US$89/tCO2) in 2030.,US$481 million,US$580 million,Operators covered by the EU ETS are partly exempt from the tax (see Competitiveness considerations and/or exemptions).,Not applicable,Natural gas carbon tax guide Solid fuel carbon tax Mineral oil tax and carbon charges Budget statement 2020 ,-,
Jalisco carbon tax,Carbon tax,Under consideration,TBC,"In June 2020, the Mexican state Jalisco announced its plan to implement a carbon tax by 2021. The price rate and type of fossil fuels covered by the carbon tax are yet to be determined. Revenues would be used for climate change adaptation, mitigation and promoting economic and industrial sustainability.","The Ministry of the Environment and Territorial Development (SEMADET) and the Ministry of Public Finance are working towards an emissions registry, which will facilitate the carbon tax to be effective as of 2021.",,,,,,,,,,,,,,,,,,,Jalisco carbon tax,,
Japan ETS,ETS,Under consideration,TBC,"An ETS has been under consideration in Japan since 2008. In March 2017, the Global Environment Committee of the Central Environment Council, an advisory committee to the Ministry of the Environment of Japan, formulated the 'Long-term Low-carbon Vision' for the country. The document refers to carbon pricing as essential to decarbonize the society. Based on that discussion, in March 2018 an expert committee on carbon pricing released a study assessing how carbon pricing could help Japan achieve long-term, substantial emissions reductions, as well as solve economic and social issues. In June 2018, a deliberative council, the 'Subcommittee on Utilization of Carbon Pricing, Global Environmental Subcommittee, Central Environment Council', was set up to consider how carbon pricing can encourage Japan to make the transition to a decarbonized society and to achieve economic growth. Discussions are still (2020) ongoing.",No significant recent developments,,,,,,,,,,,,,,,,,,,Long term low carbon vision,ICAP Japan factsheet,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for Japan can be found here
Japan carbon tax,Carbon tax,Implemented,2012,The Japan carbon tax (official name: Tax for Climate Change Mitigation) aims to put an economy-wide and fair burden for the use of all fossil fuels based on their CO2 content to realize a low-carbon society and strengthen climate change mitigation.,No significant recent developments,Japan,1345 MtCO2e,68%,"The Japan carbon tax applies to CO2 emissions from all sectors with some exemptions for the industry, power, agriculture and transport sectors (see Competitiveness considerations and/or exemptions).  The tax covers all fossil fuels.","2%  Estimated based on overlap with: Tokyo CaT, Saitama ETS",Not applicable,Not applicable,"Certain uses of fossil fuels in the industry, power, transport, agriculture and forestry sectors are exempt from the carbon tax.",Producers of the fossil fuels covered are liable for payment of the tax. ,The carbon tax is to be paid on a bimonthly basis.,Not applicable,JPY289/tCO2e (US$3/tCO2e),Not applicable,Not applicable,US$2438 million,US$2438 million,The Japan carbon tax does not consider the interaction with other carbon pricing initiatives.,Not applicable,Carbon tax policy,-,
Kazakhstan ETS,ETS,Implemented,2013,"The Kazakhstan Emissions Trading Scheme started with a pilot phase in 2013 as a cap-and-trade system covering CO2 emissions of large emitters. Full enforcement of regulations and trading in the Kazakhstan ETS started in 2014, but the system was temporarily suspended in 2016-2017 to tackle operational issues and reform allocation rules. The Kazakhstan ETS was restarted on January 1, 2018 after legislative changes were made to improve the overall GHG emissions regulation, the ETS  operation, the monitoring, reporting and verification system, and to lay the groundwork for the introduction of benchmarking. ",No significant recent developments,Kazakhstan,364 MtCO2e,50%,The Kazakhstan ETS applies to CO2 emissions from the power sector and centralized heating as well as certain industry sectors.,Not applicable,162 MtCO2e (2020)  The cap shown for 2019 is the annual average amount of emissions allowances for the whole of phase 3 covering 2018-2020 (485.9 MtCO2); there is no actual annual cap. The cap is determined top-down and set at a 5% reduction by 2020 from 1990 levels. ,Emission allowances under the cap are distributed via free allocation. Operators can choose whether to receive free allowances based on their historical emissions or benchmarks and their production levels. A portion of allowances set aside in a reserve for new entrants and for capacity changes for installations that chose allociation using benchmarks.,"All operators receive their allowances (largely) for free. Also, small emitters are exempt from the Kazakhstan ETS.",Operators are liable for reporting their covered emissions at a facility level and surrendering an equivalent amount of Kazakhstan emission allowances (and eligible offsets). ,Operators need to meet their compliance obligations on an annual basis.  ,Operators can use eligible offsets to meet their compliance obligations.,KZT500/tCO2e (US$1/tCO2e),Not applicable,Not applicable,N/A,US$180 million,Not applicable,Not applicable,Environmental Code of the Republic of Kazakhstan National GHG Emission Quota Allocation Plan for 2018-2020 Rules for the allocation of quotas for GHG emissions and formation of reserves of the established number and volume of quotas Rules of trading greenhouse gas emission quota and carbon units,ICAP Kazakhstan ETS factsheet,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the Kazakhstan ETS can be found here
Korea ETS,ETS,Implemented,2015,"The Republic of Korea launched its national ETS (Korea ETS) in 2015, the first national cap-and-trade system in operation in East Asia. The Korea ETS plays an essential role in meeting Korea's 2030 NDC target of 37% GHG emission reductions below BAU emissions, aiming to reduce GHG emissions in a cost-effective manner, transform the Korean industry to a low-carbon highly energy efficient industry and create new growth through green technology. ","Leading up to the start of the third phase (2021-2025), several new amendments to improve the Korea ETS legislation were adopted in March 2020 that entered into force on June 1, 2020. These include clarifying and simplifying the administration on free allocation and reaffirming only covered entities and designated financial instutions can participate in the Korea ETS market.   The Korean government approved the Phase 3 allocation plan in September 2020. Key reforms include a tighter ETS cap, which is set to decline by 4% during this phase, with a further 7% from 2026, and the use of benchmarks will be increased from 40% to 60%. Fuel-specific benchmarks apply to electricity generators in Phase 3. Auctioning will also increase from 3% to at least 10%. Phase 3 will see a slight expansion in the sectors covered to include certain transport and construction industries that were previously outside of the scope of the ETS. The Ministry of Environment also announced that the share of offsets in Phase 3 would be reduced from 10% to 5% in Phase 3, half of which (2.5% of an entity’s compliance obligation) may come from overseas credits. Furthermore, the Phase 3 allocation plan also reaffirmed that non-compliance entities will be allowed to take part in allowance trading, which was based on discussions that were finalized in late August 2020 through an amendment to the ETS act. The allocation plan also foresees the introduction of a futures market in Phase 3, to be launched at a yet to be determined date.","Korea, Republic of",699 MtCO2e,70%,"The Korea ETS applies to GHG emissions (CO2, CH4, N2O, PFCs, HFCs and SF6) from the industry, power, buildings, domestic aviation, public sector and waste sectors. ",Not applicable,548 MtCO2e (2020)  The total amount of emission allowances is determined top-down.,"Emission allowances under the cap are distributed primarily via free allocation with a small share (3%) of auctioning. Eight sectors (including the grey clinker, oil refinery and domestic aviation sectors) receive free allocation is based on benchmarks and historical activity data. Other sectors receive free allocation based on their historical emissions. Auctioning will apply to certain sub-sectors (including the electricity, domestic aviation, wooden product and metal foundry sectors). Only companies that do not receive all their allowances for free will be eligible to bid. No one bidder can purchase more than 30% of the allowances of one auction. ","Emission-intensive and/or trade-intensive sectors at risk of carbon leakage receive free allowances up to 100% of the benchmark or historical emission level. Also, some small emitters are exempt from the Korea ETS.","Operators are liable for reporting their direct emissions as well as indirect emissions from power consumption at a business entity level. Power generators are liable for their direct emissions at a business entity level, meaning that power sector emissions are double-regulated due to the price-regulated electricity market in Korea. All liable entities need to surrender an equivalent amount of emission allowances (and eligible offsets). ",Operators need to meet their compliance obligations on an annual basis.  ,"Operators can use eligible offsets to meet up to 10% of their compliance obligations. Only offsets generated in Korea generated after April 14, 2010 from certain project types are eligible. CERs generated after June 1, 2016 outside Korea by Korean businesses can also be used for compliance for up to half of the 10% offset allowance. ",KRW21250/tCO2e (US$17/tCO2e),"The Allocation Committee may implement market stabilization measures if certain conditions regarding a persistent supply-demand imbalance have been met. Measures include auctioning of allowances from the reserve, imposing banking limitations, changing the borrowing limits, changin the offset restrictions and temporarily setting a price floor or ceiling. Auctions for market stability will be subject to an auction reserve price. ",Not applicable,US$179 million,US$17967 million,Not applicable,"The Republic of Korea is cooperating with various international counterparts on carbon pricing. In December 2015, the carbon exchanges of Korea and Beijing signed an MoU to research cooperation between their respective carbon markets. Also, the Republic of Korea and China held the Joint Committee on Climate Change Cooperation and Roundtable on ETS in June, 2016 where views on climate policy and carbon markets were exchanged.",Enforcement Decree of the Act on the Allocation and Trading of Greenhouse Gas Emissions Allowances Act on the Allocation and Trading of Greenhouse Gas Emissions Allowances First Emissions Trading Plan for 2015-2024 Second Allocation Plan Third Allocation Plan,ICAP Korea ETS factsheets,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the Korea ETS can be found here
Latvia carbon tax,Carbon tax,Implemented,2004,"The Latvia carbon tax (official name: Nodokli par oglek?a dioksida) is part of the Natural Resources Tax Law (Dabas resursu nodokla likums), which aims to limit environmental pollution such as water and air pollution. ","On November 14, 2019, Latvia raised its carbon tax rates as part of a broader reform of its Natural Resources Tax Law. The rate increase is part of a set of additional measures the government introduced to meet its GHG reduction targets and bring the carbon price for non-ETS facilities better in line with installations in the EU ETS. Beginning on January 1, 2020 rates increased from EUR4.5/tCO2e (US$5/tCO2) to EUR9/tCO2e (US$10/tCO2) and will climb to EUR12/tCO2e (US$13/tCO2) in 2021 and EUR15/tCO2e (US$17/tCO2) in 2022. Furthermore, the share of carbon tax revenue to be credited to the state basic budget increased from 60% to 100%. Previously 40% of the revenue was allocated to the municipality where the revenue was generated.",Latvia,18 MtCO2e,15%,The Latvia carbon tax applies to CO2 emissions from the industry and power sectors not covered under the EU ETS.  The tax covers all fossil fuels except for peat (see Competitiveness considerations and/or exemptions).,Overlap with the EU ETS not available due to a lack of data,Not applicable,Not applicable,Operators covered by the EU ETS are exempt from the carbon tax. The carbon tax also does not apply to the use of peat in industrial activities.,Distributors and importers of the fossil fuels covered are liable for payment of the tax. ,"The timing of the tax payment is dependant on the size of the installations. For smaller installations, the tax is to be paid on an annual basis. For larger installations, the tax is to be paid on a quarterly basis.",Not applicable,EUR9/tCO2e (US$10/tCO2e),Not applicable,Not applicable,US$9 million,US$18 million,Operators covered by the EU ETS are exempt from the carbon tax. ,Not applicable,Natural Resource Tax,-,
