"Data last updated November, 01 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Only the introduction or removal of an ETS or carbon tax is shown. The coverage of each carbon pricing initiative is presented as a share of annual global GHG emissions for 1990-2015 based on data from the Emission Database for Global Atmospheric Research (EDGAR) version 5.0 including biofuels emissions. From 2015 onwards, the share of global GHG emissions is based on 2015 emissions from EDGAR. The GHG emissions coverage for each jurisdiction is based on official government sources and/or estimates.  If emissions that are covered by multiple carbon pricing initiatives shown in the graph, these are attributed to the carbon pricing initiative that was introduced first. Due to the dynamic approach to continuously improve data quality, changes to the graph do not only reflect new developments, but also corrections following new information from official government sources.  The information on the China national ETS represents early unofficial estimates based on the announcement of China’s National Development and Reform Commission on the launch of the national ETS of December 2017. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Switzerland ETS, , , , , , , , , , , , , , , , , , ,0.01353%,0.01336%,0.01320%,0.01190%,0.01212%,0.01222%,0.01122%,0.01115%,0.01115%,0.01115%,0.01115%,0.01115%,0.01115%,0.01115%, 
New Zealand ETS, , , , , , , , , , , , , , , , , , ,0.09253%,0.09060%,0.08699%,0.08415%,0.08570%,0.08391%,0.08475%,0.08353%,0.08353%,0.08353%,0.08353%,0.08353%,0.08353%,0.08353%, 
Switzerland carbon tax, , , , , , , , , , , , , , , , , , ,0.04087%,0.04033%,0.03987%,0.03594%,0.03660%,0.03691%,0.03388%,0.03368%,0.03368%,0.03368%,0.03368%,0.03368%,0.03368%,0.03368%, 
Liechtenstein carbon tax, , , , , , , , , , , , , , , , , , ,0.00014%,0.00013%,0.00012%,0.00011%,0.00011%,0.00011%,0.00010%,0.00010%,0.00010%,0.00010%,0.00010%,0.00010%,0.00010%,0.00010%, 
BC carbon tax, , , , , , , , , , , , , , , , , , ,0.08795%,0.08381%,0.07946%,0.07878%,0.08114%,0.07880%,0.07673%,0.07688%,0.07688%,0.07688%,0.07688%,0.07688%,0.07688%,0.07688%, 
RGGI, , , , , , , , , , , , , , , , , , , ,0.23326%,0.22516%,0.20935%,0.19639%,0.19805%,0.20081%,0.19956%,0.19956%,0.19956%,0.19956%,0.19956%,0.19956%,0.19956%, 
Iceland carbon tax, , , , , , , , , , , , , , , , , , , , ,0.00262%,0.00249%,0.00248%,0.00252%,0.00248%,0.00254%,0.00254%,0.00254%,0.00254%,0.00254%,0.00254%,0.00254%, 
Tokyo CaT, , , , , , , , , , , , , , , , , , , , ,0.02752%,0.02681%,0.02645%,0.02601%,0.02574%,0.02448%,0.02448%,0.02448%,0.02448%,0.02448%,0.02448%,0.02448%, 
Ireland carbon tax, , , , , , , , , , , , , , , , , , , , ,0.03960%,0.03594%,0.03647%,0.03523%,0.03490%,0.03585%,0.03585%,0.03585%,0.03585%,0.03585%,0.03585%,0.03585%, 
Ukraine carbon tax, , , , , , , , , , , , , , , , , , , , , ,0.59570%,0.57299%,0.55402%,0.48737%,0.40834%,0.40834%,0.40834%,0.40834%,0.40834%,0.40834%,0.40834%, 
Saitama ETS, , , , , , , , , , , , , , , , , , , , , ,0.01445%,0.01504%,0.01475%,0.01402%,0.01356%,0.01356%,0.01356%,0.01356%,0.01356%,0.01356%,0.01356%, 
California CaT, , , , , , , , , , , , , , , , , , , , , , ,0.29553%,0.23057%,0.22647%,0.69250%,0.69250%,0.69250%,0.69250%,0.69250%,0.69250%,0.69250%, 
Japan carbon tax, , , , , , , , , , , , , , , , , , , , , , ,1.76320%,1.76828%,1.69871%,1.63996%,1.63996%,1.63996%,1.63996%,1.63996%,1.63996%,1.63996%, 
Quebec CaT, , , , , , , , , , , , , , , , , , , , , , , ,0.04503%,0.04346%,0.12254%,0.12254%,0.12254%,0.12254%,0.12254%,0.12254%,0.12254%, 
Kazakhstan ETS, , , , , , , , , , , , , , , , , , , , , , , ,0.35899%,0.34480%,0.33595%,0.33595%,0.33595%,0.33595%,0.33595%,0.33595%,0.33595%, 
UK carbon price floor, , , , , , , , , , , , , , , , , , , , , , , ,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%, 
Shenzhen pilot ETS, , , , , , , , , , , , , , , , , , , , , , , ,0.11436%,0.11318%,0.11297%,0.11297%,0.11297%,0.11297%,0.11297%,0.11297%,0.11297%, 
Shanghai pilot ETS, , , , , , , , , , , , , , , , , , , , , , , ,0.31708%,0.31381%,0.31322%,0.31322%,0.31322%,0.31322%,0.31322%,0.31322%,0.31322%, 
Beijing pilot ETS, , , , , , , , , , , , , , , , , , , , , , , ,0.15817%,0.15653%,0.15624%,0.15624%,0.15624%,0.15624%,0.15624%,0.15624%,0.15624%, 
Guangdong pilot ETS, , , , , , , , , , , , , , , , , , , , , , , ,0.68446%,0.67740%,0.67614%,0.67614%,0.67614%,0.67614%,0.67614%,0.67614%,0.67614%, 
Tianjin pilot ETS, , , , , , , , , , , , , , , , , , , , , , , ,0.22096%,0.21868%,0.21827%,0.21827%,0.21827%,0.21827%,0.21827%,0.21827%,0.21827%, 
France carbon tax, , , , , , , , , , , , , , , , , , , , , , , , ,0.31035%,0.31686%,0.31686%,0.31686%,0.31686%,0.31686%,0.31686%,0.31686%, 
Mexico carbon tax, , , , , , , , , , , , , , , , , , , , , , , , ,0.69677%,0.70271%,0.70271%,0.70271%,0.70271%,0.70271%,0.70271%,0.70271%, 
Spain carbon tax, , , , , , , , , , , , , , , , , , , , , , , , ,0.01631%,0.01703%,0.01703%,0.01703%,0.01703%,0.01703%,0.01703%,0.01703%, 
Hubei pilot ETS, , , , , , , , , , , , , , , , , , , , , , , , ,0.38538%,0.38467%,0.38467%,0.38467%,0.38467%,0.38467%,0.38467%,0.38467%, 
Chongqing pilot ETS, , , , , , , , , , , , , , , , , , , , , , , , ,0.22478%,0.22436%,0.22436%,0.22436%,0.22436%,0.22436%,0.22436%,0.22436%, 
Korea ETS, , , , , , , , , , , , , , , , , , , , , , , , , ,0.90257%,0.90257%,0.90257%,0.90257%,0.90257%,0.90257%,0.90257%, 
Portugal carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , ,0.04302%,0.04302%,0.04302%,0.04302%,0.04302%,0.04302%,0.04302%, 
BC GGIRCA, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%, 
Australia ERF Safeguard Mechanism, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.63536%,0.63536%,0.63536%,0.63536%,0.63536%,0.63536%, 
Fujian pilot ETS, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.36917%,0.36917%,0.36917%,0.36917%,0.36917%,0.36917%, 
Washington CAR, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.11986%,0.11986%,0.11986%,0.11986%,0.11986%, 
Alberta carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.21304%,0.21304%,0.21304%, , , 
Chile carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.10634%,0.10634%,0.10634%,0.10634%,0.10634%, 
Colombia carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.08429%,0.08429%,0.08429%,0.08429%,0.08429%, 
Zacatecas carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Massachusetts ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00000%,0.00000%,0.00000%,0.00000%, 
Argentina carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.16267%,0.16267%,0.16267%,0.16267%, 
Canada federal OBPS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.13096%,0.13096%,0.13096%, 
Singapore carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.08266%,0.08266%,0.08266%, 
Nova Scotia CaT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.02437%,0.02437%,0.02437%, 
Saskatchewan OBPS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01743%,0.01743%,0.01743%, 
Newfoundland and Labrador carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00926%,0.00926%,0.00926%, 
Newfoundland and Labrador PSS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00847%,0.00847%,0.00847%, 
Canada federal fuel charge, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.28673%,0.28673%,0.28673%, 
Prince Edward Island carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00141%,0.00141%,0.00141%, 
South Africa carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.94554%,0.94554%,0.94554%, 
Northwest Territories carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00246%,0.00246%,0.00246%, 
Mexico pilot ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.56126%,0.56126%, 
Virginia ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.05668%,0.05668%, 
New Brunswick carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01015%,0.01015%, 
Baja Calfornia carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Germany ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.73580%, 
Tamaulipas carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
China national ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.37456%, 
